CDS_Id,Name,emp_n,emp_exceed_abs_z_gt_2,emp_exceed_abs_z_gt_3,smw_oot_n,smw_oot_exceed_abs_z_gt_2,smw_oot_exceed_abs_z_gt_3
2,Accor,2166,0.04478301015697138,0.002770083102493075,434,0.03456221198156682,0.004608294930875576
3,Adecco,2165,0.045265588914549654,0.002771362586605081,433,0.17090069284064666,0.018475750577367205
6,Aegon,2184,0.045787545787545784,0.0027472527472527475,437,0.08009153318077804,0.016018306636155607
9,Ahold,2166,0.04524469067405355,0.002770083102493075,434,0.02534562211981567,0.002304147465437788
12,Air Liquide,2166,0.04524469067405355,0.002770083102493075,434,0.41013824884792627,0.41013824884792627
13,Akzo Nobel,2166,0.04478301015697138,0.002770083102493075,434,0.004608294930875576,0.0
18,Allianz,2170,0.04470046082949309,0.0027649769585253456,434,0.03225806451612903,0.002304147465437788
19,Allied Domecq,2184,0.045787545787545784,0.0027472527472527475,437,0.2517162471395881,0.2151029748283753
20,Alstom,2166,0.04478301015697138,0.002770083102493075,434,0.01152073732718894,0.002304147465437788
21,Altadis,2166,0.045706371191135735,0.002770083102493075,434,0.20967741935483872,0.02304147465437788
24,Anglo American,2166,0.04524469067405355,0.002770083102493075,434,0.029953917050691243,0.002304147465437788
25,Arcelor Mittal,2166,0.04524469067405355,0.002770083102493075,434,0.04608294930875576,0.002304147465437788
27,Arcelor Finance,2166,0.04524469067405355,0.002770083102493075,434,0.15207373271889402,0.1497695852534562
29,Astrazeneca,2166,0.045706371191135735,0.002770083102493075,434,0.35714285714285715,0.35714285714285715
30,Auchan,2166,0.04524469067405355,0.002770083102493075,434,0.03917050691244239,0.0
31,Atlantia,2165,0.045265588914549654,0.002771362586605081,433,0.4780600461893764,0.22170900692840648
34,Aviva,2170,0.0456221198156682,0.0027649769585253456,434,0.04838709677419355,0.01152073732718894
37,AXA,2184,0.045787545787545784,0.0027472527472527475,437,0.059496567505720827,0.009153318077803204
38,LHR Airports,2166,0.04524469067405355,0.002770083102493075,434,0.002304147465437788,0.0
39,BASF,2166,0.04524469067405355,0.002770083102493075,434,0.12672811059907835,0.02304147465437788
40,British American Tobacco,2166,0.045706371191135735,0.002770083102493075,434,0.4838709677419355,0.4838709677419355
41,Bayer,2150,0.045581395348837206,0.0027906976744186047,430,0.0,0.0
43,Bertelsmann,2166,0.04524469067405355,0.002770083102493075,434,0.004608294930875576,0.0
45,BMW,2166,0.04524469067405355,0.002770083102493075,434,0.03917050691244239,0.01152073732718894
48,Alliance Boots,2165,0.045265588914549654,0.002771362586605081,433,0.0023094688221709007,0.0
49,Bouygues,2166,0.04524469067405355,0.002770083102493075,434,0.055299539170506916,0.009216589861751152
52,BAE Systems,2166,0.04524469067405355,0.002770083102493075,434,0.03225806451612903,0.002304147465437788
54,BT Group,2166,0.04524469067405355,0.002770083102493075,434,0.016129032258064516,0.004608294930875576
55,BSkyB,2166,0.046168051708217916,0.002770083102493075,434,0.059907834101382486,0.004608294930875576
57,Cadbury Schweppes,2182,0.0462878093492209,0.002749770852428964,437,0.15102974828375287,0.15102974828375287
59,Carlton Communications,2166,0.04524469067405355,0.002770083102493075,434,0.2903225806451613,0.271889400921659
60,Carrefour,2166,0.04524469067405355,0.002770083102493075,434,0.018433179723502304,0.002304147465437788
61,Casino,2166,0.04524469067405355,0.002770083102493075,434,0.029953917050691243,0.0069124423963133645
67,Compass Group,2166,0.04524469067405355,0.002770083102493075,434,0.423963133640553,0.423963133640553
68,Continental,2166,0.04524469067405355,0.002770083102493075,434,0.013824884792626729,0.0069124423963133645
70,Daimler,2166,0.04524469067405355,0.002770083102493075,434,0.05069124423963134,0.009216589861751152
71,Danone,2163,0.045307443365695796,0.002311604253351826,433,0.15704387990762125,0.018475750577367205
72,Degussa,2166,0.045706371191135735,0.002770083102493075,434,0.14746543778801843,0.016129032258064516
73,Deutsche Bahn,2166,0.045706371191135735,0.002770083102493075,434,0.10829493087557604,0.0944700460829493
74,Deutsche Post,2166,0.04524469067405355,0.002770083102493075,434,0.3778801843317972,0.3778801843317972
75,Deutsche Telekom,2166,0.04524469067405355,0.002770083102493075,434,0.0069124423963133645,0.002304147465437788
