CDS_Id,Name,n,mean_z,std_z,skew_z,excess_kurtosis_z,KS_stat,KS_p,JB_stat,JB_p,exceed_abs_z_gt_2,exceed_abs_z_gt_3,c,chi,n_train,n_oot,KS_stat_diag,KS_p_diag
2,Accor,434,-0.011285019334903012,1.137878799067995,0.1801212032007126,-0.7734369129568526,0.15797825347938727,6.293839419902657e-10,13.285898497439772,0.0013031781741325505,0.03456221198156682,0.004608294930875576,0.8086128834948071,0.024211192140715983,1732.0,434.0,0.1481172502273792,8.936397515681233e-09
3,Adecco,433,-0.021038268002308135,1.46144436548268,0.17522868573368827,-0.6016496642875118,0.2053225318582137,1.7451514662323836e-16,8.881959297625585,0.011784388301087662,0.17090069284064666,0.018475750577367205,0.7944452235980044,0.00993371932810475,1732.0,433.0,0.1478368889666627,1.0043712052673136e-08
6,Aegon,437,0.034605017377974286,1.1546815195103384,0.34115503720202844,1.2683158280679203,0.12444796581711959,2.338197821119385e-06,36.42268385921843,1.2328626393202505e-08,0.08009153318077804,0.016018306636155607,1.462515934763921,0.042420917124034806,1747.0,437.0,0.12453062228253298,2.296122396678352e-06
9,Ahold,434,-0.04264518339581312,0.9185064766526162,0.2543611894897926,0.004021295060926633,0.19828931527958138,1.9793831244129858e-15,4.649356998791058,0.09781488654183884,0.02534562211981567,0.002304147465437788,1.090576001505299,0.03498548148944392,1732.0,434.0,0.17703895851143847,2.2725873231952266e-12
12,Air Liquide,434,1.2168233206284624,25.779812803310076,2.0196693495253775,16.837552326849956,0.2073732718894009,7.570547642702521e-17,5294.327305163908,0.0,0.41013824884792627,0.41013824884792627,2.296153565445397,0.002470643415658527,1732.0,434.0,0.29704002785945643,1.9267012436155953e-34
13,Akzo Nobel,434,-0.03722426949312806,0.8238031560277685,0.17100610399816626,-0.16910304413848554,0.20181634424368144,5.675540009458475e-16,2.6927682188566147,0.2601793418444091,0.004608294930875576,0.0,0.8086422447751054,0.044733863488925184,1732.0,434.0,0.1709196671194697,1.4847376306892214e-11
18,Allianz,434,0.024084844832056522,0.8867995652571173,0.2583837934074447,0.7399712850205287,0.15422425787740102,1.7639417445856622e-09,14.109876633509224,0.0008631359764702143,0.03225806451612903,0.002304147465437788,1.4659598701916972,0.06814397713542579,1736.0,434.0,0.16327178110033325,1.4096946920205156e-10
19,Allied Domecq,437,0.7284905181192288,28.35680701625033,0.27264133424807263,7.286509648671055,0.2280249861227424,1.8776656073002992e-20,946.6001688396079,2.8079220813439714e-206,0.2517162471395881,0.2151029748283753,1.5,0.00015283509093677594,1747.0,437.0,0.35724215229396217,2.0020507751477149e-50
20,Alstom,434,0.01180477932379111,0.6335832833148243,0.4684164883517609,2.1894866799380504,0.18180633168038773,5.024241719469033e-13,99.39432903620143,2.610932736418377e-22,0.01152073732718894,0.002304147465437788,1.3261476832229913,0.06761768305225271,1732.0,434.0,0.1824473716678603,4.0885604355253494e-13
21,Altadis,434,-0.006391636460683506,1.2468427264943784,-0.020750380258226734,1.850932973681009,0.2409807927151325,1.1450021086617901e-22,59.65956927774174,1.1094024866260648e-13,0.20967741935483872,0.02304147465437788,1.060904258746577,0.013685534825869846,1732.0,434.0,0.2540654734220418,3.5020581037494245e-25
24,Anglo American,434,0.08290737474642086,0.9618107601549573,0.0991672486858638,-0.1582376984110727,0.07821690222102529,0.009335580226841075,1.2303458717725464,0.54054740718089,0.029953917050691243,0.002304147465437788,1.3905977416667405,0.061791982560626395,1732.0,434.0,0.05283304684390189,0.17104119549369357
25,Arcelor Mittal,434,0.04486902370182573,1.0206123683456487,0.15805538611533912,-0.3496882459387356,0.05834553851372076,0.10011116670918929,4.1311624189794225,0.12674460398979157,0.04608294930875576,0.002304147465437788,1.3769123314809966,0.05330842513146557,1732.0,434.0,0.05690235085132911,0.11577950427960049
27,Arcelor Finance,434,0.19571143229397028,20.60202203917758,0.7315361031017397,9.668600156749921,0.3870967741935484,4.784274261751847e-59,1685.5377830732555,0.0,0.15207373271889402,0.1497695852534562,1.5,0.0001489258723535447,1732.0,434.0,0.41450288135743196,5.156208123429997e-68
29,Astrazeneca,434,0.4071437596973329,9.346695604120569,0.552953653954469,4.9869859956146145,0.19354838709061295,1.023738517637777e-14,458.97116229498465,2.166099645512257e-100,0.35714285714285715,0.35714285714285715,1.5730242953872724,0.001845877354097515,1732.0,434.0,0.2796993113512585,1.6133629416725576e-30
30,Auchan,434,0.0036580912402717305,1.0494012060225393,0.08777691733735776,-0.5846233637482268,0.1586371126804602,5.238786427968755e-10,6.884660608953824,0.03199005184123812,0.03917050691244239,0.0,0.9034082392451134,0.029960628330629697,1732.0,434.0,0.1631442743051329,1.462291342036292e-10
31,Atlantia,433,0.035938569401397856,2.3415622769235407,0.10668868363236425,0.35647159206651624,0.22357900251369034,1.6995790323179377e-19,2.883536934671818,0.2365091299546418,0.4780600461893764,0.22170900692840648,0.9361262495029818,0.0049095190235091445,1732.0,433.0,0.19277884861798766,1.4351515835160753e-14
34,Aviva,434,0.04414927945931287,1.0471630371749132,1.6696632267225684,14.27079302749349,0.13987107950972555,7.190286001161863e-08,3791.895833974721,0.0,0.04838709677419355,0.01152073732718894,1.843041185049042,0.0540738925052019,1736.0,434.0,0.13622477190949145,1.7393685514695125e-07
37,AXA,437,0.022423417027535992,1.0767611487079753,0.6349025759338488,3.3867314329292766,0.1457837899378246,1.4358965455507894e-08,231.60297485366107,5.10567321137726e-51,0.059496567505720827,0.009153318077803204,1.6105827674051592,0.050581522793762414,1747.0,437.0,0.154546990563508,1.39915199677763e-09
