CDS_Id,Name,n,mean_z,std_z,skew_z,excess_kurtosis_z,KS_stat,KS_p,JB_stat,JB_p,exceed_abs_z_gt_2,exceed_abs_z_gt_3
2,Accor,2166,-0.00022279423815708694,0.9949878190806006,-0.0007106743845552726,0.04719397932520453,0.13180978762696216,2.832633237431336e-33,0.17742717491262502,0.9151076343492158,0.04478301015697138,0.002770083102493075
3,Adecco,2165,-0.000177375062120359,0.9945772451539856,-0.0005369767817150045,0.051987982263832944,0.13533487297921476,4.8013362140482996e-35,0.21756055735774588,0.8969274699377814,0.045265588914549654,0.002771362586605081
6,Aegon,2184,-8.236803214359989e-06,0.9992180300066541,-2.56283318367969e-05,-0.0032795806046843623,0.06959706959706957,1.2113827154874195e-09,0.0032960037985590006,0.9983533553101869,0.045787545787545784,0.0027472527472527475
9,Ahold,2166,-0.00022785800983573506,0.9958420498988668,-0.0007051131400576094,0.036805126340662575,0.12373037857802405,2.3282774047293624e-29,0.10421028434113766,0.9492290575924187,0.04524469067405355,0.002770083102493075
12,Air Liquide,2166,-0.00030735805831697325,0.9926501663319762,-0.000992286949920114,0.07524831863573178,0.14958448753462605,8.983523399529142e-43,0.4721951776785677,0.7897036039141928,0.04524469067405355,0.002770083102493075
13,Akzo Nobel,2166,-0.0003015835348841939,0.9921646113971685,-0.0009853872370032552,0.08125278898696031,0.15281625115420128,1.2445653986434365e-44,0.553613981546387,0.7582008227435172,0.04478301015697138,0.002770083102493075
18,Allianz,2170,-3.89979604148032e-05,0.9990835941273821,-0.00012983879794332506,-0.0018516496205238653,0.0735023041474655,1.2175694092223542e-10,0.0019285407921605059,0.9990361943632216,0.04470046082949309,0.0027649769585253456
19,Allied Domecq,2184,-0.0010173111437233495,0.9779428900617653,-0.0037255050069149548,0.2566850015863369,0.21336996336996344,9.717927246631826e-88,5.846071356956668,0.053770210224023736,0.045787545787545784,0.0027472527472527475
20,Alstom,2166,-2.6717134707381902e-05,0.995391404090337,-8.63881543728462e-05,0.042450958050061605,0.1283471837488458,1.4478557210417215e-31,0.1414163796270656,0.9317337418583522,0.04478301015697138,0.002770083102493075
21,Altadis,2166,-0.0005738237906572379,0.9902909531482392,-0.0019273656884817479,0.10354253802585767,0.16366574330563255,3.622816810749203e-51,0.913519382694228,0.6333325170613064,0.045706371191135735,0.002770083102493075
24,Anglo American,2166,1.4020264283670704e-05,0.9992643353943459,1.0523016279391855e-05,-0.004093524089204603,0.06786703601108035,4.054287962845192e-09,0.004238363991152373,0.9978830618852452,0.04524469067405355,0.002770083102493075
25,Arcelor Mittal,2166,3.2443074077685438e-06,0.9998154492688144,5.28300184703839e-06,-0.010528800156471174,0.03762696214219763,0.00422623566269411,0.015900337759561557,0.9920813501303679,0.04524469067405355,0.002770083102493075
27,Arcelor Finance,2166,0.0005871547997157697,0.974232885781362,0.002208173132639085,0.304528977746235,0.22437673130193914,2.746467673178171e-96,8.181630603668525,0.016725591592671746,0.04524469067405355,0.002770083102493075
29,Astrazeneca,2166,-0.000426713483185993,0.9889787641239483,-0.0014210662491994065,0.11988989629428781,0.1708217913204063,9.927798996660088e-56,1.2328788509687805,0.5398632428473618,0.045706371191135735,0.002770083102493075
30,Auchan,2166,-0.0001918505628459297,0.9955454186179067,-0.000601591766841006,0.04046658497846156,0.12673130193905818,8.754955135110149e-31,0.12775235896823373,0.9381211509844904,0.04524469067405355,0.002770083102493075
31,Atlantia,2165,-7.135623280944148e-05,0.9899287959505088,-0.00024531071429540033,0.10853191036831156,0.1660508083140878,1.2157004453532305e-52,1.0042788090431198,0.6052344323485297,0.045265588914549654,0.002771362586605081
34,Aviva,2170,-2.758297987458632e-05,0.9990801356199348,-8.526299006949045e-05,-0.001724877858448437,0.07373271889400923,1.0503528404814788e-10,0.0018210604272991386,0.9990898841931992,0.0456221198156682,0.0027649769585253456
37,AXA,2184,-2.6195792904349545e-05,0.999257095887116,-7.832234538566066e-05,-0.003770428217317434,0.06822344322344331,2.776726859635807e-09,0.0038562095178976013,0.9980737528409578,0.045787545787545784,0.0027472527472527475
38,LHR Airports,2166,-1.9711443263462022e-05,0.9832490769111271,-6.435046463512658e-05,0.19082202531729964,0.19575253924284397,3.406981879201588e-73,3.1766789267640885,0.20426451898591327,0.04524469067405355,0.002770083102493075
39,BASF,2166,-0.00034722354892873864,0.993175104217061,-0.0010980245233277906,0.06881290985719835,0.14589104339796866,1.0660357443555645e-40,0.39219911710842614,0.8219304004022753,0.04524469067405355,0.002770083102493075
40,British American Tobacco,2166,-0.0003849337735385904,0.9926358795210697,-0.0012417237892388504,0.07533668390302006,0.14958448753462605,8.983523399529142e-43,0.47354737981138995,0.7891698649165221,0.045706371191135735,0.002770083102493075
41,Bayer,2150,-0.00036430916687158426,0.9925106080977316,-0.0011855415663536047,0.07688442346650026,0.15046511627906978,5.85185919286415e-43,0.4899526875318919,0.7827230543026293,0.045581395348837206,0.0027906976744186047
43,Bertelsmann,2166,-0.0002702596649095971,0.9952258485822766,-0.000829423663554882,0.04399038932585464,0.1295013850415513,3.9476730120482783e-32,0.15284837492954567,0.9264231461139621,0.04524469067405355,0.002770083102493075
45,BMW,2166,-6.57218216220873e-05,0.9985909675802771,-0.00019881164864275305,0.0040524907963170875,0.08564173591874424,2.8585447307547534e-14,0.00016080932673421088,0.9999195985690013,0.04524469067405355,0.002770083102493075
