CDS_Id,n,mean,std,min,p01,p05,p95,p99,max,skew,excess_kurtosis,Name
2.0,2166.0,0.0010012233019598602,0.0363804210040215,-0.1578947368421053,-0.0907433189730657,-0.04995898647084632,0.05686763406376283,0.11549586776859505,0.3265306122448979,1.6358353047018983,12.334012686217216,Accor
3.0,2165.0,0.0005742784544545348,0.030818508823901154,-0.15970350404312672,-0.08406504065040651,-0.045454545454545414,0.05179185241259417,0.10683809523809533,0.21621621621621623,0.7889169366168705,6.686198587359685,Adecco
6.0,2184.0,0.0010681744933486398,0.040411033140238056,-0.3927710843373494,-0.09390714081170436,-0.05465575438601636,0.06277132277834518,0.11742541074857926,0.4318181818181819,0.8497637599578213,17.310677032000104,Aegon
9.0,2166.0,0.00043505605014364083,0.03367541553142788,-0.19565217391304346,-0.08759832070646147,-0.04908036785285891,0.05591248937977911,0.09959388060224995,0.21052631578947367,0.3538490084616995,6.117501046993681,Ahold
12.0,2166.0,0.0007300025605499583,0.03256898797223921,-0.21594684385382057,-0.08333333333333337,-0.048373578956103225,0.05127203003701186,0.09841463414634133,0.25,0.8676018650223161,8.60379976768184,Air Liquide
13.0,2166.0,0.0008090845605094353,0.0351230280925183,-0.1923076923076923,-0.09090909090909094,-0.05096522133402012,0.05528875324897664,0.11309322775395905,0.28,0.8048071356780766,9.304495485325223,Akzo Nobel
18.0,2170.0,0.001269067591709821,0.050143243165141585,-0.2777777777777778,-0.1282529644268775,-0.0714285714285714,0.07943017199387852,0.15628209335029972,0.4285714285714286,0.5389363032443414,5.888652309283151,Allianz
19.0,2184.0,0.0003919161732977888,0.029925823448680496,-0.18181818181818177,-0.07532692307692303,-0.034438772456881546,0.03389351370100593,0.09447746484212151,0.4814814814814814,4.658839525277687,69.14998638274085,Allied Domecq
20.0,2166.0,0.0010484464875512266,0.03690907655250367,-0.37691638577797104,-0.08913979431098734,-0.05023265210364425,0.05779789390697154,0.11938095238095235,0.33333333333333326,0.4885333908463183,13.859894612811214,Alstom
21.0,2166.0,0.0003466126482537754,0.03619708386494323,-0.19999999999999996,-0.09717792498091812,-0.046071066170580155,0.04509719644092525,0.09967661691542287,0.7333333333333334,5.300611934658262,99.0818993490053,Altadis
24.0,2166.0,0.0019775779661099944,0.0442617746801224,-0.21706398996235887,-0.10667334415255092,-0.06179954762117734,0.07256990195311702,0.13091964774864262,0.3999999999999999,1.1449838246101283,8.710093509901716,Anglo American
25.0,2166.0,0.001639900651988142,0.04140597215625303,-0.20833333333333337,-0.10342328629386002,-0.05765918633565695,0.07215130600207859,0.12051005260832533,0.25,0.47958930579609094,3.9311146678664652,Arcelor Mittal
27.0,2166.0,0.000893180263404205,0.03981700497647678,-0.2675404780262143,-0.12499919681639429,-0.05121269765782907,0.05828174119957835,0.15290664267256465,0.29142185663924813,0.35147350708488,13.351468596222471,Arcelor Finance
29.0,2166.0,0.0006914569674515702,0.02955577991250226,-0.1811594202898551,-0.07931578947368421,-0.043440396065846876,0.045301688469461476,0.09987025948103792,0.2163345741186773,0.7374544543137229,9.333408037914978,Astrazeneca
30.0,2166.0,0.0011340936156645192,0.04025353285051048,-0.24193548387096775,-0.10280112044817925,-0.05948786519438695,0.06664447403462048,0.14027365466152628,0.32789794786466975,0.9816380050358425,7.272397893108966,Auchan
31.0,2165.0,0.0009395577456465854,0.03711964124892841,-0.2490000000000001,-0.09870713212670036,-0.0531880910624188,0.06000000000000005,0.13381861733981054,0.33614864864864846,1.2485896788315032,11.965796164443054,Atlantia
34.0,2170.0,0.0012055983691718279,0.04306566595629169,-0.26248108925869884,-0.10221153846153845,-0.06133532955986228,0.06817302733367708,0.13492971253379057,0.41220374492601786,1.0073703458989893,8.988473390676349,Aviva
37.0,2184.0,0.0010363028301263702,0.043555063505508064,-0.27382753403933424,-0.10276901643911948,-0.0612990037935431,0.07109512853028578,0.12834574028122422,0.5,1.3450966691507185,14.104410974725255,AXA
38.0,2166.0,0.0004225263697880192,0.03334578456656374,-0.28,-0.09078514563569617,-0.04454700535948214,0.04862177419354835,0.11336221040887251,0.2466221898301284,-0.10605156523495343,15.005844622333626,LHR Airports
39.0,2166.0,0.0010239623372507742,0.03940543030801444,-0.23636363636363633,-0.10378217537821748,-0.05706134094151216,0.06286909448818906,0.13046040515653742,0.42105263157894735,1.430015505102703,14.957249006437301,BASF
40.0,2166.0,0.0006439680407687711,0.03100766186203243,-0.14634146341463417,-0.08897113125209806,-0.04420591284817496,0.04841029288961746,0.11295231416549782,0.26054650047938654,0.8462057870700428,8.013311392832238,British American Tobacco
41.0,2150.0,0.0008129159634771622,0.035345419755582544,-0.17391304347826086,-0.09532014494353089,-0.05193592933905775,0.05905290017953835,0.11196324143692525,0.3500000000000001,1.0436513997656673,10.591217322571726,Bayer
43.0,2166.0,0.0004894302549337463,0.03424225340938142,-0.23299822590183328,-0.0857539315448659,-0.049593574307179394,0.053556497849976126,0.11111111111111116,0.26190476190476186,0.8347447201822996,7.97341336779057,Bertelsmann
45.0,2166.0,0.0011257484607923702,0.04285068675475444,-0.29444009397024284,-0.1038190608832314,-0.057811506675143065,0.0694148083623694,0.13110613810741664,0.42090285862113563,0.9062883074969305,9.28779947422491,BMW
48.0,2165.0,-0.0001543255618227318,0.02681943405849539,-0.5848541492449211,-0.06282565711423375,-0.03634751255401005,0.04033645224042783,0.0714285714285714,0.18518518518518512,-4.842620411615122,109.61786536819544,Alliance Boots
